id,second
01-01,19.7
01-02,2.8
01-03,16.5
01-04,16.6
01-07,5.8
01-08,5.5
01-09,3.1
01-10,24.3
01-11,21.0
01-12,4.9
01-14,17.3
01-16,17.3
01-17,8.5
01-18,12.5
01-20,50.5
01-22,4.8
01-23,4.5
01001,6.3
01002,30.9
01004,1.5
01005,1.3
01006,18.6
01007,5.6
01008,2.6
01009,12.8
01010,13.4
01011,12.3
01012,21.6
01013,28.7
01014,0.9
01015,14.5
01016,11.6
01017,20.9
01019,46.4
01021,2.7
01022,6.4
01023,14.8
01024,1.4
01025,1.6
01026,1.5
01027,0.5
01028,4.5
01029,9.2
01030,1.4
01031,0.7
01032,1.5
01033,1.5
01034,3.2
01035,29.1
01036,29.6
01037,21.0
01038,2.0
01039,16.9
01040,8.5
01041,3.8
01042,2.9
01043,0.4
01044,10.4
01045,11.9
01046,4.3
01047,4.0
01049,0.9
01050,3.5
01051,37.8
01052,4.2
01053,2.1
01054,2.7
01056,19.2
01057,8.3
01058,13.5
01059,22.8
01060,25.2
01061,5.2
01062,3.5
01063,1.7
01064,11.0
01065,0.5
01066,57.0
01067,8.6
01068,11.3
01069,0.9
01071,4.3
01072,2.5
01073,19.3
01074,2.2
01075,1.6
01076,36.6
01077,19.9
01078,4.4
01079,13.8
01080,13.2
01081,17.4
01082,11.6
01083,5.3
01084,8.8
01085,2.5
01087,15.2
01088,6.6
01089,2.0
01090,7.9
01091,5.8
01092,8.4
01093,1.5
01094,6.1
01095,14.2
01096,3.8
01097,22.3
01098,7.4
01099,3.1
01100,16.1
01101,16.9
01102,2.6
01103,4.3
01104,36.2
01105,1.8
01106,16.2
01107,32.5
01108,7.9
01109,4.7
01110,19.0
01111,42.7
01112,6.6
01113,3.3
01114,8.4
01115,2.1
01116,17.5
01117,36.0
01118,20.0
01119,26.1
01121,26.4
01122,13.2
01123,2.0
01124,10.9
01125,16.1
01127,16.3
01128,6.7
01129,3.6
01130,3.8
01133,18.5
01134,1.3
01135,5.7
01136,3.8
01138,4.9
01139,12.2
01140,3.4
01141,10.4
01142,0.8
01143,13.8
01144,4.4
01145,5.3
01146,4.4
01147,7.9
01148,2.7
01149,5.7
01150,10.9
01151,6.1
01152,17.1
01153,4.8
01154,1.6
01155,24.7
01156,4.1
01157,2.4
01158,5.4
01159,1.0
01160,16.4
01162,26.6
01163,4.6
01165,2.2
01166,1.1
01167,7.0
01169,5.6
01170,1.4
01171,1.9
01172,21.6
01173,5.6
01174,46.9
01175,2.2
01176,40.9
01177,23.7
01179,2.2
01180,14.0
01181,1.0
01182,28.4
01183,3.1
01184,24.9
01185,7.4
01186,38.2
01187,44.8
01188,6.9
01189,6.9
01190,39.8
01191,9.6
01192,2.9
01193,12.7
01194,0.6
01195,4.8
01196,4.4
01197,15.4
01198,10.2
01199,9.8
01200,10.3
01202,2.3
01203,2.1
01204,23.1
01205,5.7
01206,16.3
01207,5.9
01208,18.7
01209,9.5
01210,81.1
01211,4.5
01212,7.3
01213,2.0
01214,24.0
01215,27.8
01216,17.5
01218,25.0
01219,24.9
01221,36.8
01224,1.7
01225,7.1
